crime_code,victim_age,victim_sex,serious_crime,weapon_0,weapon_1,weapon_2,weapon_3,weapon_4,weapon_5,weapon_6,weapon_7,weapon_8,weapon_9,premise_0,premise_1,premise_2,premise_3,premise_4,premise_5,premise_6,premise_7,premise_8,premise_9,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_8,area_9,norm_distance,norm_angle,victim_descent_A,victim_descent_B,victim_descent_H,victim_descent_O,victim_descent_W
0,0.12371134020618557,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4351473755463385,0.2986301522767888,0,1,0,0,0
0,0.41237113402061853,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.40291519971188544,0.27447532472718056,0,1,0,0,0
0,0.23711340206185566,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8458811078102431,0.3160140231307898,0,0,1,0,0
0,0.38144329896907214,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.11411520898845244,0.266056766059807,0,0,1,0,0
0,0.422680412371134,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8620451998607828,0.31470244711176426,0,0,1,0,0
0,0.27835051546391754,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6266685021711059,0.2899159554299869,0,0,1,0,0
0,0.26804123711340205,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20213321197050846,0.2717297121237934,0,0,1,0,0
0,0.3917525773195876,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16660803725953602,0.2961483995955588,0,0,1,0,0
0,0.3711340206185567,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46381290100068207,0.30589393192565867,0,0,1,0,0
0,0.7835051546391752,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6738124539078159,0.31702931022334263,1,0,0,0,0
0,0.38144329896907214,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.32596616060368067,0.28666068997544797,0,0,1,0,0
0,0.6494845360824743,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.29675580961262776,0.3099503106037658,0,1,0,0,0
0,0.5463917525773195,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2915434901479331,0.31113515959551985,0,0,0,0,1
0,0.2268041237113402,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2780300436908884,0.31712998360908934,0,0,1,0,0
0,0.16494845360824742,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.235849669024577,0.3153758878884255,0,0,1,0,0
0,0.2268041237113402,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3882761999527229,0.31016111899162624,0,0,1,0,0
0,0.15463917525773196,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4175062371784308,0.26740301668989425,0,1,0,0,0
0,0.41237113402061853,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8130508380673755,0.3174007781313641,0,1,0,0,0
0,0.16494845360824742,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2855691287886375,0.2823398480183375,0,1,0,0,0
0,0.3711340206185567,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2939079739807353,0.27844913372145025,0,0,1,0,0
0,0.6288659793814433,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.44462606124527637,0.3070655641320162,0,0,1,0,0
0,0.2268041237113402,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9875118395570481,0.3139935219822553,0,0,1,0,0
0,0.7319587628865979,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2958492114541034,0.3193343247832976,1,0,0,0,0
